FIELDS OF KNOWLEDGE;2014/15
TOTAL;1437955
EDUCATION / PEDAGOGY;103707
CULTURE AND ARTS;56580
HUMANITARIAN SCIENCES;83526
SOCIAL AND BEHAVIORAL SCIENCES;36185
INTERNATIONAL RELATIONS;10791
JOURNALISTICS;12426
MANAGEMENT AND BUSINESS;294028
LAW;135246
BIOLOGY AND NATURAL SCIENCES;45709
MATHEMATICS AND STATISTICS;28409
INFORMATION TECHNOLOGIES;58820
MECHANICAL ENGINEERING;77471
ELECTRICAL ENGINEERING;10521
AUTOMATION AND INSTRUMENT ENGINEERING;28421
ELECTRONICS AND TELECOMMUNICATIONS;58326
CHEMICAL AND BIOENGINEERING;12016
MANUFACTURING AND TECHNOLOGY;32919
ARCHITECTURE AND BUILDING;56513
TRANSPORT;69049
AGRICULTURAL SCIENCES AND FOOD;69350
VETERINARY MEDICINE;12372
HEALTH PROTECTION;78269
SOCIAL WORK;7632
SERVICES;29620
PUBLIC MANAGEMENT AND ADMINISTRATION;2981
MILITARY SCIENCE, NATIONAL SECURITY;3621
CIVIL SECURITY;11425
OTHER;12022
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
