FIELDS OF KNOWLEDGE;2016/17
TOTAL;1369432
EDUCATION / PEDAGOGY;123122
CULTURE AND ARTS;51137
HUMANITARIAN SCIENCES;70505
SOCIAL AND BEHAVIORAL SCIENCES;56343
INTERNATIONAL RELATIONS;8161
JOURNALISTICS;14233
MANAGEMENT AND BUSINESS;241566
LAW;130795
BIOLOGY AND NATURAL SCIENCES;38310
MATHEMATICS AND STATISTICS;20177
INFORMATION TECHNOLOGIES;70363
MECHANICAL ENGINEERING;60746
ELECTRICAL ENGINEERING;20876
AUTOMATION AND INSTRUMENT ENGINEERING;26056
ELECTRONICS AND TELECOMMUNICATIONS;40390
CHEMICAL AND BIOENGINEERING;11354
MANUFACTURING AND TECHNOLOGY;36827
ARCHITECTURE AND BUILDING;50015
TRANSPORT;65810
AGRICULTURAL SCIENCES AND FOOD;65019
VETERINARY MEDICINE;12366
HEALTH PROTECTION;88342
SOCIAL WORK;9944
SERVICES;31310
PUBLIC MANAGEMENT AND ADMINISTRATION;2019
MILITARY SCIENCE, NATIONAL SECURITY;6366
CIVIL SECURITY;9932
OTHER;7348
